date,count,total_count,ratio
2020-10-18,17,84412,0.0002013931668483154
2020-10-25,21,83217,0.00025235228378816827
2020-11-01,16,84272,0.00018986140117714068
2020-11-08,7,83195,8.413967185527976e-05
2020-11-15,20,79498,0.0002515786560668193
2020-11-22,18,78380,0.0002296504210257719
2020-11-29,6,65074,9.220272305375418e-05
2020-12-06,7,80189,8.729376847198493e-05
2020-12-13,42,78550,0.0005346912794398472
2020-12-20,12,76122,0.0001576416804603137
2020-12-27,10,55944,0.00017875017875017876
2021-01-03,5,52205,9.577626664112633e-05
2021-01-10,7,73888,9.473798181030749e-05
2021-01-17,6,77615,7.730464472073697e-05
2021-01-24,10,70751,0.00014134075843450975
2021-01-31,10,70826,0.00014119108801852428
2021-02-07,21,74714,0.0002810718205423348
2021-02-14,10,72963,0.00013705576799199595
2021-02-21,7,67871,0.00010313683310987019
2021-02-28,13,73644,0.00017652490359024495
2021-03-07,23,73234,0.000314061774585575
2021-03-14,14,72716,0.00019252984212552945
2021-03-21,17,79051,0.00021505104299755854
2021-03-28,7,82055,8.530863445250138e-05
2021-04-04,7,75832,9.230931532862117e-05
2021-04-11,13,49969,0.00026016130000600373
2021-04-18,9,60188,0.00014953146806672427
2021-04-25,7,77854,8.991188635137565e-05
2021-05-02,26,81768,0.0003179728010957832
2021-05-09,21,76846,0.00027327382036800875
2021-05-16,6,72811,8.240513109282938e-05
2021-05-23,14,70495,0.00019859564508121143
2021-05-30,12,67519,0.00017772775070720834
2021-06-06,12,65170,0.00018413380389749884
2021-06-13,31,71369,0.0004343622581232748
2021-06-20,32,71309,0.0004487512095247444
2021-06-27,39,69517,0.0005610138527266711
2021-07-04,7,69074,0.00010134059124996381
2021-07-11,12,62435,0.00019219988788339874
2021-07-18,13,67738,0.00019191591130532346
2021-07-25,10,69696,0.00014348025711662075
2021-08-01,13,73848,0.0001760372657350233
2021-08-08,9,70536,0.0001275944198707043
2021-08-15,25,63941,0.0003909854397022255
2021-08-22,12,58788,0.00020412329046744235
2021-08-29,9,59780,0.00015055202408832384
2021-09-05,11,67507,0.00016294606485253382
2021-09-12,10,66463,0.00015045965424371455
2021-09-19,17,70283,0.0002418792595649019
2021-09-26,10,69602,0.0001436740323553921
2021-10-03,9,70355,0.0001279226778480563
2021-10-10,10,69439,0.00014401129048517404
2021-10-17,14,68487,0.0002044183567684378
2021-10-24,18,69805,0.00025786118472888764
2021-10-31,11,70167,0.00015676885145438738
2021-11-07,36,71403,0.0005041804966177891
2021-11-14,16,69360,0.0002306805074971165
2021-11-21,8,59842,0.000133685371478226
2021-11-28,8,44710,0.00017893088794453143
2021-12-05,2,65453,3.055627702320749e-05
2021-12-12,7,61995,0.00011291233163964835
2021-12-19,5,62931,7.945209832991689e-05
2021-12-26,14,50614,0.0002766033113367843
2022-01-02,17,48795,0.0003483963520852546
2022-01-09,12,62681,0.00019144557361879997
2022-01-16,3,62108,4.8302956140915824e-05
2022-01-23,4,54119,7.391119569836842e-05
2022-01-30,4,54230,7.375991148810622e-05
2022-02-06,8,59965,0.00013341115650796298
2022-02-13,3,57101,5.253848443985219e-05
2022-02-20,7,55906,0.00012521017422101384
2022-02-27,4,59146,6.76292564163257e-05
2022-03-06,27,60361,0.0004473086926989281
2022-03-13,18,62270,0.0002890637546169905
2022-03-20,22,60959,0.00036089830869928967
2022-03-27,9,61401,0.00014657741730590706
2022-04-03,5,62518,7.997696663360952e-05
2022-04-10,8,59911,0.000133531404917294
2022-04-17,5,38108,0.0001312060459745985
2022-04-24,6,45014,0.0001332918647531879
2022-05-01,3,35020,8.566533409480297e-05
2022-05-08,2,26553,7.532105600120513e-05
2022-05-15,10,71824,0.0001392292269993317
2022-05-22,4,72702,5.5019119143902504e-05
2022-05-29,14,69529,0.00020135483035855543
2022-06-05,7,64687,0.00010821339681852613
2022-06-12,9,70182,0.00012823800974608873
2022-06-19,3,69140,4.339022273647671e-05
2022-06-26,6,64958,9.23673758428523e-05
2022-07-03,17,68445,0.0002483746073489663
2022-07-10,8,60388,0.00013247665099026297
2022-07-17,12,66964,0.0001792007645899289
2022-07-24,21,67026,0.00031331125234983437
2022-07-31,8,69049,0.00011585975177048183
2022-08-07,10,68994,0.0001449401397222947
2022-08-14,21,65777,0.00031926053179682866
2022-08-21,20,65144,0.0003070121576814442
2022-08-28,17,67636,0.000251345437341061
2022-09-04,13,68545,0.0001896564300824276
2022-09-11,15,67658,0.00022170327234029974
2022-09-18,43,71398,0.0006022577663239867
2022-09-25,45,72015,0.0006248698187877526
2022-10-02,26,74967,0.00034681926714421013
2022-10-09,30,73003,0.0004109420160815309
2022-10-16,15,73755,0.0002033760423022168
2022-10-23,39,75297,0.0005179489222678195
2022-10-30,25,76265,0.00032780436635415985
2022-11-06,7,76289,9.175634757304461e-05
2022-11-13,11,78385,0.00014033297186961792
2022-11-20,15,76691,0.0001955900953175731
2022-11-27,5,63569,7.865469017917539e-05
2022-12-04,10,74247,0.0001346855765216103
2022-12-11,11,72323,0.00015209546064184285
2022-12-18,10,70403,0.0001420394017300399
2022-12-25,6,60566,9.906548228378958e-05
2023-01-01,9,50162,0.00017941868346557156
2023-01-08,6,62856,9.545628102329134e-05
2023-01-15,8,69696,0.0001147842056932966
2023-01-22,4,66145,6.047320281200393e-05
2023-01-29,7,69609,0.00010056170897441423
2023-02-05,8,70460,0.00011353959693443088
2023-02-12,13,71819,0.00018101059608181678
2023-02-19,16,69733,0.00022944660347324795
2023-02-26,3,65980,4.546832373446499e-05
2023-03-05,6,71452,8.397245703409282e-05
2023-03-12,8,71390,0.0001120605126768455
2023-03-19,11,71413,0.00015403357932029183
2023-03-26,10,67320,0.00014854426619132502
2023-04-02,3,66365,4.52045505914262e-05
2023-04-09,8,65142,0.00012280863344693132
2023-04-16,10,66233,0.00015098213881297842
2023-04-23,10,69042,0.00014483937313519306
2023-04-30,13,71903,0.0001807991321641656
2023-05-07,5,68285,7.322252324815113e-05
2023-05-14,6,67224,8.925383791503035e-05
2023-05-21,10,69800,0.00014326647564469913
2023-05-28,13,66711,0.00019487041117656758
2023-06-04,20,61786,0.00032369792509630014
2023-06-11,21,67913,0.0003092191480276236
2023-06-18,24,66455,0.0003611466405838537
2023-06-25,37,62510,0.0005919052951527756
2023-07-02,33,66111,0.000499160502790761
2023-07-09,8,55732,0.00014354410392593124
2023-07-16,15,64944,0.00023096821877309682
2023-07-23,12,64477,0.0001861128774601796
2023-07-30,14,66383,0.00021089736830212554
2023-08-06,14,65349,0.00021423434176498493
2023-08-13,27,63885,0.00042263442122563984
2023-08-20,30,62985,0.0004763038818766373
2023-08-27,16,58115,0.0002753161834294072
2023-09-03,14,61687,0.00022695219414139121
2023-09-10,31,58809,0.0005271302011596865
2023-09-17,37,62160,0.0005952380952380953
2023-09-24,14,61281,0.00022845580196145625
2023-10-01,29,61914,0.0004683916400167975
2023-10-08,54,56108,0.0009624296000570328
2023-10-15,17,60011,0.00028328139841029144
2023-10-22,12,54165,0.00022154527831625589
2023-10-29,15,55353,0.00027098802232941306
2023-11-05,8,52491,0.0001524070793088339
2023-11-12,24,58097,0.00041310222558824035
2023-11-19,25,64245,0.0003891353412716943
2023-11-26,6,52126,0.0001151057054061313
2023-12-03,14,63218,0.0002214559144547439
2023-12-10,7,49874,0.00014035369130208124
2023-12-17,20,48891,0.00040907324456443926
2023-12-24,8,45593,0.0001754655319895598
2023-12-31,29,33377,0.0008688617910537197
2024-01-07,0,35046,0.0
2024-01-14,4,52242,7.656674706175108e-05
2024-01-21,5,48566,0.00010295268294691759
2024-01-28,5,50329,9.934630133720121e-05
2024-02-04,7,50020,0.00013994402239104358
2024-02-11,24,52927,0.0004534547584408714
2024-02-18,17,51021,0.0003331961349248349
2024-02-25,5,48386,0.00010333567560864712
2024-03-03,21,52764,0.00039799863543324996
2024-03-10,10,53182,0.0001880335451844609
2024-03-17,8,51733,0.00015464017165059052
2024-03-24,4,49642,8.057693082470488e-05
2024-03-31,25,46827,0.0005338800264804493
2024-04-07,15,48286,0.0003106490494139088
2024-04-14,19,48320,0.00039321192052980134
2024-04-21,8,50162,0.00015948327419161915
2024-04-28,11,54978,0.00020008003201280514
2024-05-05,5,53731,9.305615008095885e-05
2024-05-12,17,54647,0.00031108752539023185
2024-05-19,17,56015,0.00030349013657056146
2024-05-26,11,52189,0.00021077238498534175
2024-06-02,6,48445,0.00012385179069047372
2024-06-09,4,54044,7.401376656058027e-05
2024-06-16,21,53130,0.0003952569169960474
2024-06-23,14,49405,0.0002833721283270924
2024-06-30,36,54433,0.0006613635111053956
2024-07-07,32,45802,0.0006986594471857124
2024-07-14,85,52905,0.001606653435403081
2024-07-21,10,54888,0.00018218918524996356
2024-07-28,19,54532,0.00034841927675493287
2024-08-04,8,50660,0.00015791551519936834
2024-08-11,18,55272,0.0003256621797655232
2024-08-18,22,52027,0.0004228573625233052
2024-08-25,25,54059,0.00046245768512181133
2024-09-01,44,58624,0.0007505458515283843
2024-09-08,15,62654,0.0002394100935295432
2024-09-15,10,73209,0.00013659522736275594
2024-09-22,34,70981,0.0004790014229159916
2024-09-29,15,71520,0.00020973154362416107
2024-10-06,14,71402,0.0001960729391333576
2024-10-13,14,69813,0.00020053571684356783
2024-10-20,20,70773,0.0002825936444689359
2024-10-27,15,72867,0.00020585450203795957
2024-11-03,16,73573,0.00021747108314191347
2024-11-10,7,81081,8.6333419666753e-05
2024-11-17,13,78515,0.00016557345730115264
2024-11-24,10,78562,0.00012728800183294724
2024-12-01,7,69104,0.0001012965964343598
2024-12-08,15,76330,0.0001965151316651382
2024-12-15,59,75341,0.0007831061440649845
2024-12-22,9,72605,0.00012395840506852144
2024-12-29,5,50722,9.857655455226529e-05
2025-01-05,5,57459,8.701856976278738e-05
2025-01-12,11,78984,0.00013926871265066343
2025-01-19,3,80590,3.722546221615585e-05
2025-01-26,15,78853,0.00019022738513436394
2025-02-02,7,81849,8.55233417634913e-05
2025-02-09,8,84543,9.462640313213394e-05
2025-02-16,14,79725,0.00017560363750391972
2025-02-23,37,75181,0.0004921456218991501
2025-03-02,19,81534,0.0002330316187112125
2025-03-09,31,84645,0.0003662354539547522
2025-03-16,11,80608,0.00013646288209606986
2025-03-23,9,80187,0.0001122376445059673
2025-03-30,23,83839,0.0002743353331981536
2025-04-06,33,84726,0.0003894908292613838
2025-04-13,9,85895,0.00010477909075033472
2025-04-20,19,80097,0.00023721237998926303
2025-04-27,7,86697,8.074097142923054e-05
2025-05-04,7,84939,8.24120839661404e-05
2025-05-11,18,84905,0.00021200164890171369
2025-05-18,10,86835,0.00011516093741003051
2025-05-25,14,82486,0.00016972577164609752
2025-06-01,13,76693,0.00016950699542331112
2025-06-08,12,80881,0.0001483661181241577
2025-06-15,10,82809,0.00012075982079242594
2025-06-22,3,77504,3.870767960363336e-05
2025-06-29,8,82186,9.734017959263135e-05
2025-07-06,6,73744,8.136255152961597e-05
2025-07-13,14,79779,0.00017548477669562167
2025-07-20,7,77477,9.034939401370729e-05
2025-07-27,14,79702,0.0001756543123133673
2025-08-03,12,80157,0.00014970620157940044
2025-08-10,52,76305,0.0006814756569032173
2025-08-17,23,75650,0.00030403172504957037
2025-08-24,14,77063,0.0001816695431010991
2025-08-31,13,79687,0.00016313827851468872
2025-09-07,12,80093,0.00014982582747555967
2025-09-14,11,85191,0.00012912162082849126
2025-09-21,13,85562,0.00015193660737243168
2025-09-28,12,89591,0.00013394202542666117
2025-10-05,11,87984,0.00012502273140571014
2025-10-12,7,86164,8.124042523559724e-05
2025-10-19,25,86213,0.00028997946945356266
2025-10-26,9,83360,0.00010796545105566218
2025-11-02,16,86553,0.00018485783277298303
2025-11-09,13,92469,0.00014058765640376775
2025-11-16,18,87045,0.0002067895915905566
2025-11-23,7,87272,8.020900174168118e-05
2025-11-30,4,76446,5.232451665227743e-05
2025-12-07,11,84361,0.00013039200578466353
2025-12-14,8,81792,9.780907668231612e-05
2025-12-21,10,77065,0.0001297605917082982
2025-12-28,1,53069,1.8843392564397295e-05
2026-01-04,3,55835,5.372973941076386e-05
2026-01-11,40,78035,0.0005125905042609086
2026-01-18,5,78551,6.365291339384604e-05
2026-01-25,11,73854,0.00014894250819183795
2026-02-01,9,78237,0.00011503508570113885
2026-02-08,15,77385,0.0001938360147315371
2026-02-15,10,74134,0.00013489087328351365
2026-02-22,5,69747,7.168767115431488e-05
2026-03-01,5,77039,6.490219239605914e-05
